level	frequency	NoteID	VocabKanji	VocabPitch	VocabPoS	VocabFurigana	VocabDefID	VocabPlus	VocabAudio	SentType1	SentKanji1	SentFurigana1	SentDefID1	SentAudio1	SentType2	SentKanji2	SentFurigana2	SentDefID2	SentAudio2	SentType3	SentKanji3	SentFurigana3	SentDefID3	SentAudio3	SentType4	SentKanji4	SentFurigana4	SentDefID4	SentAudio4	Sort	Alt1	Alt2	Tags
N5	頻度未定 (Belum Ditentukan)	0b68e410-2ed7-11ef-a183-99ad05e145f0	あげる	⓪	他動2・補動	あげる	memberi, menghadiahkan		[sound:あげる_アケ゚ル━_0_NHK-2016-260118.mp3]		プレゼントをあげる	プレゼントを<b>あげる</b>	Memberikan hadiah	[sound:voicepeak-cf4a71832b5e4b44-260119.mp3]																1.0372			
N5	頻度未定 (Belum Ditentukan)	0b48b5e6-2ed7-11ef-a183-99ad05e145f0	ああ	①	感	ああ	(saat sedih, senang, atau terkejut) ah, aduh; (saat menyetujui) ah		[sound:ああ_ア＼ー_1_NHK-2016-260118.mp3]		ああ、そうでしたか	<b>ああ</b>、そうでしたか	Ah, begitu ya!	[sound:voicepeak-faa0b81dcf254199-260118.mp3]		ああ、いいよ	<b>ああ</b>、いいよ	Ah, boleh.	[sound:voicepeak-ebafe2f2feb044f9-260118.mp3]											1.0103			
N5	頻度未定 (Belum Ditentukan)	0b68dbc8-2ed7-11ef-a183-99ad05e145f0	ああ	⓪	副	ああ	begitu, seperti itu		[sound:ああ_アー━_0_NHK-2016-260118.mp3]		ああいうことをしてはいけない	<b>ああ</b>いうことをしてはいけない	Tidak boleh melakukan hal semacam itu	[sound:voicepeak-8f4660f5ed2a4c6e-260118.mp3]																1.0102			
N5	頻度未定 (Belum Ditentukan)	0b48c680-2ed7-11ef-a183-99ad05e145f0	あさって	②	名	あさって	lusa	明後日	[sound:あさって_アサ＼ッテ_2_NHK-2016-260118.mp3]		あさっては日曜日だ	<b>あさって</b>は 日曜日[にちようび]だ	Lusa adalah hari Minggu	[sound:voicepeak-5cc8ccaf08b441da-260118.mp3]																1.0208			
N5	頻度未定 (Belum Ditentukan)	0b48cf04-2ed7-11ef-a183-99ad05e145f0	あそこ	⓪	代	あそこ	(merujuk tempat yang jauh) di sana; (merujuk tempat yang sama-sama diketahui pembicara dan lawan bicara) di sana		[sound:あそこ_アソコ━_0_NHK-2016-260118.mp3]		あそこにバス停があります	<b>あそこ</b>にバス 停[てい]があります	Di sana ada halte bus	[sound:voicepeak-cf1bb4fc1ecb4cd1-260118.mp3]		あそこで会おう	<b>あそこ</b>で 会[あ]おう	Ayo bertemu di sana	[sound:voicepeak-1a9c1319d10f4cea-260118.mp3]											1.0088			
N5	頻度未定 (Belum Ditentukan)	0b48df3a-2ed7-11ef-a183-99ad05e145f0	あちら	⓪	代	あちら	(tempat jauh) sebelah sana; orang itu, beliau		[sound:あちら_アチラ━_0_NHK-2016-260118.mp3]		あちらに行ってみよう	<b>あちら</b>に 行[い]ってみよう	Ayo coba pergi ke sana	[sound:voicepeak-6929630f03914c76-260118.mp3]		あちらはどなたですか	<b>あちら</b>はどなたですか	Siapa beliau itu?	[sound:voicepeak-d61e4007e8f14c6e-260118.mp3]											1.0096			
N5	頻度未定 (Belum Ditentukan)	0b48e796-2ed7-11ef-a183-99ad05e145f0	あっち	③	代	あっち	sebelah sana; orang itu	Bentuk kasual/informal dari 「あちら」	[sound:あっち_アッチ＼_3_NHK-2016-260118.mp3]		郵便局はあっちです	郵便[ゆうびん] 局[きょく]は<b>あっち</b>です	Kantor pos ada di sebelah sana	[sound:voicepeak-d7d8f27eba0b427d-260118.mp3]		あっちが兄でこっちは弟です	<b>あっち</b>が 兄[あに]でこっちは 弟[おとうと]です	Yang itu kakak laki-laki, yang ini adik laki-laki	[sound:voicepeak-93809be4fb384329-260118.mp3]											1.0092			
N5	頻度未定 (Belum Ditentukan)	0bbfc91a-2ed7-11ef-a183-99ad05e145f0	あと	①	名・副・接	あと	masih ada, selain itu		[sound:あと_ア＼ト_1_NHK-2016-260118.mp3]		あと1万円必要だ	<b>あと</b>1 万[まん] 円[えん] 必要[ひつよう]だ	Masih perlu 10.000 yen lagi	[sound:voicepeak-a80ebaffb455494b-260119.mp3]																1.0413			
N5	頻度未定 (Belum Ditentukan)	0b48efca-2ed7-11ef-a183-99ad05e145f0	あなた	②	代	あなた	kamu, Anda		[sound:あなた_アナ＼タ_2_NHK-2016-260118.mp3]		これはあなたのかばんですか	これは<b>あなた</b>のかばんですか	Apakah ini tasmu?	[sound:voicepeak-947b41a750c048b2-260118.mp3]																1.0074			
N5	頻度未定 (Belum Ditentukan)	0b48fc04-2ed7-11ef-a183-99ad05e145f0	あの	⓪	連体	あの	(merujuk hal yang jauh) itu; (merujuk hal yang sama-sama diketahui pembicara dan lawan bicara) itu		[sound:あの_アノ━_0_NHK-2016-260118.mp3]		あの黒いカバンは誰のですか？	<b>あの</b> 黒[くろ]いカバンは 誰[だれ]のですか？	Tas hitam itu punya siapa?	[sound:voicepeak-54bf003c205e4f5c-260118.mp3]		あの話はなかったことにしよう	<b>あの</b> 話[はなし]はなかったことにしよう	Anggap saja pembicaraan itu tidak pernah terjadi	[sound:voicepeak-62305039dc584283-260118.mp3]											1.0084			
N5	頻度未定 (Belum Ditentukan)	0b490438-2ed7-11ef-a183-99ad05e145f0	あのう	⓪	感	あのう	anu, permisi (menyapa lawan bicara dengan perasaan ragu-ragu/sungkan)		[sound:voicepeak-0-あのう-260119.mp3]		あのう、質問ですが	<b>あのう</b>、 質問[しつもん]ですが	Anu, saya mau bertanya...	[sound:voicepeak-9932128433484409-260119.mp3]																1.0397			
N5	頻度未定 (Belum Ditentukan)	0b490c94-2ed7-11ef-a183-99ad05e145f0	アパート	②	名	apartment house	apartemen	Singkatan dari 「アパートメントハウス」(apartment house)	[sound:アパート_アパ＼ート_2_NHK-2016-260118.mp3]		彼はアパートに住んでいます	彼[かれ]は<b>アパート</b>に 住[す]んでいます	Dia tinggal di apartemen	[sound:voicepeak-648bae9b53fd471c-260119.mp3]																1.0396			
N5	頻度未定 (Belum Ditentukan)	0b4914dc-2ed7-11ef-a183-99ad05e145f0	あまり	⓪	ナ形・副・名	あまり	(diikuti bentuk negatif) tidak terlalu, tidak begitu; (diikuti bentuk positif) terlalu, berlebihan		[sound:あまり_アマリ━_0_NHK-2016-260118.mp3]		このビールはあまりおいしくありません	このビールは<b>あまり</b>おいしくありません	Bir ini tidak terlalu enak	[sound:voicepeak-cbc43363d977451a-260119.mp3]		あまりのうれしさに涙が出る	<b>あまり</b>のうれしさに 涙[なみだ]が 出[で]る	Menangis karena saking senangnya	[sound:voicepeak-5984d766a5994aa8-260119.mp3]											1.0328			
N5	頻度未定 (Belum Ditentukan)	66ec9e26-679e-11ef-89c9-3b0955f1365d	ありがとう	②	感	ありがとう	terima kasih		[sound:ありがとう_アリ＼カ゚トー_2_NHK-2016-260118.mp3]		ありがとうございます	<b>ありがとう</b>ございます	(cara sopan) terima kasih banyak	[sound:voicepeak-4cc0eaff3daf4127-260118.mp3]		本をかしてくれて、ありがとう	本[ほん]をかしてくれて、<b>ありがとう</b>	Terima kasih sudah meminjamkan buku	[sound:voicepeak-65c151d027f14425-260118.mp3]											1.0062			
N5	頻度未定 (Belum Ditentukan)	0b492e0e-2ed7-11ef-a183-99ad05e145f0	ある	①	自動1・補動	ある	ada, terdapat (untuk benda mati); memiliki, punya; terjadi; berada (dalam suatu keadaan/posisi)	有る・在る	[sound:ある_ア＼ル_1_NHK-2016-260118.mp3]		私の机の上に書類がたくさんあります	私[わたし]の 机[つくえ]の 上[うえ]に 書類[しょるい]がたくさん<b>あり</b>ます	Di atas mejaku ada banyak dokumen	[sound:voicepeak-a252e8bc8f704309-260118.mp3]		家にパソコンがある	家[いえ]にパソコンが<b>ある</b>	Di rumah ada komputer	[sound:voicepeak-23a9d53f8933454e-260118.mp3]		あした試験がある	あした 試験[しけん]が<b>ある</b>	Besok ada ujian	[sound:voicepeak-87561bd021ed4cf4-260118.mp3]		会長の地位にある	会長[かいちょう]の 地位[ちい]に<b>ある</b>	Menduduki jabatan sebagai ketua	[sound:voicepeak-4377f58ba0f6430d-260118.mp3]	1.0266			
